Date;gasprod;gasprice_norm;ip;gasprice_norm2;heating_days;cooling_days;cpi;rig_count
15.01.1980;1960000;;51,2805;;939;7;32,90903184;
15.02.1980;1840000;;52,2797;;883;4;33,33094251;
15.03.1980;1971000;;52,5378;;728;12;33,79504424;
15.04.1980;1806000;;50,7316;;373;20;34,13257277;
15.05.1980;1840000;;49,3943;;162;88;34,4701013;
15.06.1980;1725000;;49,6982;;58;182;34,80762983;
15.07.1980;1756000;;47,3081;;7;358;34,8498209;
15.08.1980;1716000;;48,8056;;14;327;35,1029673;
15.09.1980;1723000;;50,2077;;64;173;35,39830476;
15.10.1980;1790000;;50,7681;;352;33;35,73583329;
15.11.1980;1790000;;51,0447;;611;9;36,11555289;
15.12.1980;1949000;;50,9603;;884;4;36,45308142;
15.01.1981;1890000;;50,5984;;1038;3;36,79060996;
15.02.1981;1702000;;51,1506;;731;6;37,12813849;
15.03.1981;1871000;;51,7536;;660;10;37,38128489;
15.04.1981;1808000;;50,6752;;290;46;37,59224022;
15.05.1981;1838000;;50,9853;;188;67;37,84538662;
15.06.1981;1770000;;52,1707;;31;236;38,18291515;
15.07.1981;1797000;;50,5635;;9;315;38,60482581;
15.08.1981;1841000;;51,7074;;16;254;38,90016328;
15.09.1981;1716000;;51,7335;;90;120;39,27988288;
15.10.1981;1781000;;51,5155;;361;36;39,40645608;
15.11.1981;1714000;;50,4299;;546;11;39,57522034;
15.12.1981;1860000;;49,6846;;893;5;39,70179354;
15.01.1982;1870000;;48,7963;;1119;6;39,82836674;
15.02.1982;1716000;;50,3131;;818;10;39,95493994;
15.03.1982;1822000;;50,0666;;659;20;39,95493994;
15.04.1982;1719000;;48,8395;;442;24;40,08151314;
15.05.1982;1698000;;48,4408;;132;109;40,46123274;
15.06.1982;1647000;;49,252;;70;151;40,92533447;
15.07.1982;1672000;;47,4163;;10;302;41,1362898;
15.08.1982;1643000;;48,1238;;26;242;41,22067193;
15.09.1982;1574000;;48,337;;88;123;41,22067193;
15.10.1982;1615000;;47,883;;291;38;41,3894362;
15.11.1982;1627000;;47,1647;;553;13;41,34724513;
15.12.1982;1669000;;46,5618;;728;10;41,22067193;
15.01.1983;1748117;;47,8338;;914;5;41,30505407;
15.02.1983;1521467;;47,98;;740;5;41,34724513;
15.03.1983;1577466;;48,4943;;621;9;41,3894362;
15.04.1983;1542366;;48,3932;;452;13;41,68477367;
15.05.1983;1532055;;48,5238;;210;67;41,85353793;
15.06.1983;1495326;;49,8568;;40;180;41,93792006;
15.07.1983;1551881;;48,8179;;9;338;42,10668433;
15.08.1983;1532451;;50,4686;;8;344;42,23325753;
15.09.1983;1462650;;51,7512;;63;153;42,35983073;
15.10.1983;1531355;;52,0192;;275;49;42,528595;
15.11.1983;1521775;;51,5033;;545;11;42,65516819;
15.12.1983;1642136;;51,4518;;1031;6;42,78174139;
15.01.1984;1895481;;53,1408;;1039;5;43,07707886;
15.02.1984;1655189;;53,8746;;673;7;43,28803419;
15.03.1984;1699551;;54,2743;;739;13;43,41460739;
15.04.1984;1671840;;53,8653;;398;23;43,58337166;
15.05.1984;1675256;;53,8322;;192;85;43,66775379;
15.06.1984;1623846;;55,1425;;33;221;43,75213592;
15.07.1984;1682570;;53,3088;;11;279;43,92090019;
15.08.1984;1658423;;54,6278;;10;296;44,04747339;
15.09.1984;1580166;;55,1475;;103;127;44,17404659;
15.10.1984;1667575;;54,7816;;243;60;44,34281085;
15.11.1984;1661692;;54,2839;;599;9;44,42719299;
15.12.1984;1794932;;54,041;;735;14;44,51157512;
15.01.1985;1833462;;54,6042;;1094;3;44,59595725;
15.02.1985;1672775;;55,3804;;838;6;44,84910365;
15.03.1985;1689944;;55,4442;;584;21;45,06005898;
15.04.1985;1601171;;54,4598;;283;36;45,14444112;
15.05.1985;1585096;;54,4263;;138;103;45,22882325;
15.06.1985;1526158;;55,6402;;53;181;45,35539645;
15.07.1985;1570088;;53,3005;;8;299;45,43977858;
15.08.1985;1559116;;54,8289;;23;253;45,52416071;
15.09.1985;1536110;;55,6219;;82;132;45,60854285;
15.10.1985;1594820;;55,0782;;265;59;45,77730711;
15.11.1985;1605066;;54,5477;;536;24;45,98826245;
15.12.1985;1832894;;54,9521;;984;4;46,19921778;
15.01.1986;1822072;;55,8555;;889;7;46,36798204;
15.02.1986;1590678;;55,9766;;761;10;46,28359991;
15.03.1986;1697033;;55,2408;;569;16;46,03045351;
15.04.1986;1532501;;55,029;;317;31;45,86168925;
15.05.1986;1559058;;54,6618;;139;101;45,98826245;
15.06.1986;1488517;;55,8037;;34;218;46,15702671;
15.07.1986;1530478;;53,92;;12;328;46,19921778;
15.08.1986;1531488;;55,4569;;23;245;46,24140884;
15.09.1986;1449958;;56,0697;;88;149;46,41017311;
15.10.1986;1549075;;55,9044;;279;44;46,49455524;
15.11.1986;1635610;;55,4248;;588;22;46,57893738;
15.12.1986;1744243;;55,6112;;820;9;46,74770164;
15.01.1987;1830364;;56,0809;;946;6;47,00084804;
15.02.1987;1648472;;57,3972;;736;8;47,16961231;
15.03.1987;1745201;;57,4315;;596;13;47,33837657;
15.04.1987;1646758;;56,7262;;329;21;47,5493319;
15.05.1987;1641199;;57,2273;;122;122;47,6759051;
15.06.1987;1575395;;58,9729;;23;232;47,88686044;
15.07.1987;1592419;;57,0593;;10;323;48,01343364;
15.08.1987;1617677;;59,2831;;18;286;48,22438897;352
15.09.1987;1546332;;59,6222;;71;143;48,39315323;364
15.10.1987;1691308;;60,3344;;367;35;48,51972643;377
15.11.1987;1730252;;59,8319;;518;13;48,6884907;386
15.12.1987;1874822;;59,6509;;796;8;48,77287283;403
15.01.1988;1931603;;60,341;;1028;5;48,9416371;391
15.02.1988;1758595;;61,0576;;799;6;49,02601923;375
15.03.1988;1833049;;61,1295;;616;13;49,15259243;338
15.04.1988;1690503;;60,6594;;365;27;49,4479299;316
15.05.1988;1730340;;60,6241;;150;86;49,57450309;300
15.06.1988;1660533;;62,406;;34;207;49,78545843;309
15.07.1988;1680284;;60,0435;;5;348;49,99641376;309
15.08.1988;1697417;;62,0888;;9;335;50,20736909;335
15.09.1988;1614511;;62,3689;;82;139;50,41832442;390
15.10.1988;1753272;;62,3463;;370;40;50,58708869;377
15.11.1988;1777887;;61,5209;;532;18;50,75585296;406
15.12.1988;1871261;;61,2354;;852;7;50,92461722;397
15.01.1989;1871079;;61,9987;;806;14;51,13557255;364
15.02.1989;1717410;;62,2435;;849;8;51,30433682;347
15.03.1989;1814437;;61,961;;621;19;51,55748322;325
